timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
1/4/18 12:14,Google,L3,Software Engineer,179000,"Mountain View, CA",2,2,NA,125000,140000,25000,NA,NA,7322,807,206,0,0,0,0,0,0,0,0,0,0,NA,NA
1/4/18 18:16,Microsoft,61,Software Engineer,150000,"Redmond, WA",3.5,3,NA,0,0,0,NA,NA,11521,819,207,0,0,0,0,0,0,0,0,0,0,NA,NA
1/4/18 18:57,Amazon,L4,Software Engineer,144000,"Seattle, WA",1,0,NA,106000,3000,35000,NA,NA,11527,819,208,0,0,0,0,0,0,0,0,0,0,NA,NA
1/5/18 9:09,Microsoft,59,Software Engineer,154000,"Redmond, WA",0,0,NA,108000,35000,11000,NA,NA,11521,819,210,0,0,0,0,0,0,0,0,0,0,NA,NA
1/9/18 23:20,SAP,T4PF,Product Manager,276000,"Palo Alto, CA",22,19,NA,180000,20000,66000,NA,NA,7351,807,217,0,0,0,0,0,0,0,0,0,0,NA,NA
1/11/18 0:00,Facebook,E6,Software Engineer,220000,"London, EN, United Kingdom",20,1,NA,0,0,0,NA,NA,12008,0,218,0,0,0,0,0,0,0,0,0,0,NA,NA
1/11/18 15:44,Amazon,L6,Product Manager,225000,"Seattle, WA",6.5,3.5,NA,0,0,0,NA,NA,11527,819,219,0,0,0,0,0,0,0,0,0,0,NA,NA
1/12/18 0:52,Amazon,6,Software Engineering Manager,320000,"Seattle, WA",7,7,NA,160000,160000,0,NA,NA,11527,819,220,0,0,0,0,0,0,0,0,0,0,NA,NA
1/12/18 16:58,Google,T5,Software Engineer,354000,"Sunnyvale, CA",16,3,NA,180000,139000,35000,NA,NA,7472,807,221,0,0,0,0,0,0,0,0,0,0,NA,NA
1/12/18 21:05,Google,L7,Software Engineering Manager,640000,"San Jose, CA",18,4,NA,250000,300000,90000,NA,NA,7422,807,222,0,0,0,0,0,0,0,0,0,0,NA,NA
1/13/18 17:55,Apple,4,Software Engineer,350000,"Cupertino, CA",5,2,NA,0,0,0,NA,NA,7158,807,223,0,0,0,0,0,0,0,0,0,0,NA,NA
1/13/18 17:56,Apple,ICT5,Software Engineer,500000,"Cupertino, CA",6,3,NA,0,0,0,NA,NA,7158,807,224,0,0,0,0,0,0,0,0,0,0,NA,NA
1/17/18 14:13,Microsoft,61,Software Engineer,149000,"Redmond, WA",3,3,NA,129000,10000,10000,NA,NA,11521,819,228,0,0,0,0,0,0,0,0,0,0,NA,NA
1/17/18 18:40,Amazon,L4,Software Engineer,145000,"Seattle, WA",1,0.25,NA,106000,3250,35500,NA,Return internship offer,11527,819,230,0,0,0,0,0,0,0,0,0,0,NA,NA
1/18/18 0:48,Yelp,Senior,Software Engineer,280000,"San Francisco, CA",3,2,NA,150000,300000,100000,NA,NA,7419,807,232,0,0,0,0,0,0,0,0,0,0,NA,NA
1/20/18 22:35,Amazon,L4,Software Engineer,170000,"New York, NY",0,0,NA,125000,5000,39000,NA,Stock vesting is f**ked up. 75k with 5-10-40-40 and joining is split up as 39k 1st year and 33.5k second year,10182,501,234,0,0,0,0,0,0,0,0,0,0,NA,NA
